postcode,state,total_population,demographic_score,pct_professional,pct_high_income_hh,median_hh_income_weekly,pct_degree,seifa_irsad_decile,pct_wfh,median_age,avg_household_size,unemployment_pct,labour_force_participation_pct,median_rent_weekly,rank
2046,NSW,27277,71.05,55.25,45.75,2507.41,38.23,8.93,47.47,43.09,2.51,3.31,63.64,607.74,95
2017,NSW,29014,71.0,56.05,36.95,2076.7,51.23,9.18,49.47,33.6,1.93,7.98,67.8,537.19,96
2203,NSW,14591,70.87,56.79,38.33,2142.64,44.98,9.24,51.68,38.94,2.24,4.33,67.61,481.78,97
2172,NSW,2890,70.64,45.93,59.19,3172.63,32.38,8.28,43.08,39.45,3.24,3.32,71.63,510.01,98
2619,NSW,10074,70.5,48.34,62.41,3554.99,34.56,8.93,10.38,38.2,3.05,1.76,77.4,502.08,99
2127,NSW,26834,70.38,54.99,34.7,2015.7,51.14,9.7,48.86,33.86,2.15,5.31,66.98,509.86,100
2008,NSW,10412,70.08,57.0,30.38,1731.5,54.4,9.87,49.91,28.42,1.86,9.96,64.06,512.96,101
4066,QLD,20268,70.03,55.71,37.17,2356.89,53.31,9.86,26.9,32.5,2.27,5.11,72.2,440.37,102
2204,NSW,26977,70.03,55.6,40.66,2243.97,42.64,8.9,49.7,37.8,2.37,4.7,65.66,515.77,102
4051,QLD,30467,69.41,53.07,45.66,2673.59,45.41,9.18,25.18,35.0,2.57,3.77,74.63,413.79,104
2100,NSW,24195,69.4,47.93,53.42,2953.88,34.86,8.38,41.6,41.22,2.98,3.09,67.48,708.96,105
2773,NSW,6227,69.21,51.5,46.58,2532.17,39.02,8.83,43.12,44.44,2.78,3.31,64.21,477.26,106
2226,NSW,14294,69.01,49.32,50.77,2753.08,33.63,8.54,45.68,40.4,2.84,3.42,66.11,544.4,107
2104,NSW,4989,68.94,54.3,44.89,2584.0,32.03,9.08,44.76,56.25,2.5,3.57,49.0,823.65,108
2114,NSW,25290,68.87,52.15,38.77,2216.92,47.92,9.1,45.28,38.11,2.57,5.11,65.32,515.51,109
2106,NSW,9644,68.82,49.65,48.17,2766.17,35.87,8.89,41.3,45.99,2.63,3.17,65.82,705.38,110
2611,ACT,37166,68.61,53.79,47.91,2645.63,46.27,9.23,12.42,38.77,2.64,3.47,69.03,464.13,111
4154,QLD,11698,68.6,48.28,56.54,3109.24,35.65,8.39,24.47,37.51,3.2,2.98,75.82,553.76,112
2081,NSW,5471,68.57,48.54,50.93,2708.67,35.46,8.37,44.49,41.47,3.02,3.01,69.22,577.42,113
2137,NSW,28676,68.38,51.94,45.42,2436.31,38.1,8.74,43.71,42.41,2.65,4.0,62.15,616.7,114
4073,QLD,9551,68.34,52.21,47.89,2717.09,41.81,8.81,24.74,43.92,2.81,4.0,65.82,524.67,115
2607,ACT,14712,68.32,53.54,47.08,2650.85,47.1,9.22,11.58,43.46,2.57,3.82,63.28,484.1,116
4121,QLD,28103,68.15,53.06,46.76,2612.49,43.37,8.8,23.64,37.05,2.73,3.81,71.62,418.87,117
4075,QLD,26996,67.93,53.16,44.07,2514.43,44.67,8.89,26.61,38.56,2.69,4.33,68.83,451.21,118
4104,QLD,8005,67.9,54.33,39.98,2368.7,46.89,9.32,26.8,39.4,2.36,4.59,68.17,383.73,119
