postcode,state,total_population,demographic_score,pct_professional,pct_high_income_hh,median_hh_income_weekly,pct_degree,seifa_irsad_decile,pct_wfh,median_age,avg_household_size,unemployment_pct,labour_force_participation_pct,median_rent_weekly,rank
2914,ACT,34549,67.86,47.14,54.47,2963.26,44.31,8.88,11.27,32.07,3.17,3.83,78.71,503.14,120
2080,NSW,2262,67.71,49.51,48.15,2609.36,35.46,8.86,39.21,40.79,3.05,2.47,67.11,583.31,121
2033,NSW,12223,67.51,52.62,35.42,2127.27,45.01,9.54,44.06,34.9,2.32,6.38,61.78,566.52,122
4170,QLD,29648,67.34,51.11,46.85,2690.85,41.42,8.82,24.48,34.79,2.56,3.66,76.89,462.13,123
2156,NSW,13994,67.33,47.56,51.89,2957.05,30.28,8.41,39.27,46.32,3.14,3.3,61.63,607.92,124
2077,NSW,43178,67.31,50.56,38.22,2209.7,46.97,8.91,44.29,39.32,2.64,4.45,66.0,511.52,125
2000,NSW,28529,67.26,47.5,39.51,2338.6,48.5,9.36,39.15,33.8,2.21,7.3,63.2,660.03,126
4520,QLD,13880,67.22,49.12,51.34,2890.89,34.98,8.57,28.08,44.97,3.04,3.63,65.35,517.54,127
2084,NSW,4538,66.88,47.8,50.01,2885.74,31.57,8.27,40.67,47.96,2.94,2.51,60.24,721.16,128
2112,NSW,39007,66.88,50.9,39.89,2247.53,43.27,8.77,43.76,39.13,2.62,4.53,64.12,544.95,128
2132,NSW,10845,66.84,51.98,40.95,2215.28,39.99,8.65,45.74,42.85,2.76,4.67,58.01,492.03,130
4151,QLD,21008,66.79,52.5,41.17,2462.54,46.01,9.18,22.87,36.05,2.37,3.72,74.05,419.88,131
2158,NSW,8931,66.77,48.85,48.33,2717.83,32.86,8.32,41.87,46.28,3.1,3.68,59.12,597.23,132
2079,NSW,7799,66.73,46.57,48.91,2606.59,37.71,8.36,40.83,40.68,2.91,3.53,69.85,589.56,133
2291,NSW,14505,66.71,52.64,44.23,2443.45,40.5,8.84,28.62,39.91,2.52,3.34,68.1,469.42,134
2097,NSW,16254,66.51,46.3,51.08,2882.61,31.79,8.39,38.57,41.95,2.91,2.83,67.58,742.31,135
4156,QLD,3392,66.14,46.98,54.31,2881.57,37.0,8.34,20.32,41.09,3.25,4.12,71.65,553.32,136
2223,NSW,22181,66.12,48.27,43.38,2465.55,37.92,8.45,45.53,41.1,2.75,3.92,62.37,551.48,137
