postcode,region_name,market_share_pct,market_size_dollars,customer_penetration_pct,spend_per_customer,spend_per_transaction,transactions_per_customer,nearest_store,distance_km,distance_tier,yoy_share_pct,share_trend_pp,period,yoy_period
2287,Wallsend,0.966,134973.0,4.788,90.93,57.52,1.58,Cooks Hill,6.86,Secondary (5-10km),1.038,-0.072,202512,202412
2289,Adamstown Heights,3.51,285122.0,13.065,144.96,71.29,2.03,Cooks Hill,6.1,Secondary (5-10km),3.587,-0.077,202512,202412
2290,Charlestown (NSW),2.628,309636.0,9.027,138.97,84.75,1.64,Cooks Hill,4.63,Primary (3-5km),2.561,0.067,202512,202412
2291,Merewether,9.412,544766.0,28.503,179.15,73.71,2.43,Cooks Hill,9.89,Secondary (5-10km),8.974,0.438,202512,202412
2292,Broadmeadow,3.127,23786.0,11.19,108.1,57.99,1.86,Cooks Hill,10.24,Extended (10-20km),4.58,-1.453,202512,202412
2293,Wickham (NSW),6.098,77125.0,18.15,144.16,67.22,2.14,Cooks Hill,12.2,Extended (10-20km),7.085,-0.987,202512,202412
2294,Carrington (Newcastle - NSW),5.067,34532.0,14.189,145.77,81.86,1.78,Cooks Hill,12.87,Extended (10-20km),5.056,0.011,202512,202412
2295,Fern Bay,2.27,63367.0,7.924,133.19,87.47,1.52,Cooks Hill,17.23,Extended (10-20km),2.204,0.066,202512,202412
2296,Islington,6.628,48469.0,18.527,149.48,84.95,1.76,Cooks Hill,11.61,Extended (10-20km),6.67,-0.042,202512,202412
2297,Tighes Hill,5.565,39794.0,16.297,147.73,78.11,1.89,Cooks Hill,12.31,Extended (10-20km),5.874,-0.309,202512,202412
2298,Waratah (NSW),1.991,59766.0,7.814,100.22,54.13,1.85,Cooks Hill,10.56,Extended (10-20km),2.176,-0.185,202512,202412
2299,Lambton,2.466,92666.0,6.766,136.63,66.16,2.07,Cooks Hill,8.84,Secondary (5-10km),2.118,0.348,202512,202412
2300,Newcastle,14.013,715516.0,37.721,175.7,54.61,3.22,Cooks Hill,13.04,Extended (10-20km),13.363,0.65,202512,202412
2302,Newcastle West,4.786,26702.0,19.072,110.43,60.9,1.81,Cooks Hill,11.75,Extended (10-20km),4.638,0.148,202512,202412
2303,Hamilton (NSW),6.736,236644.0,19.154,163.52,73.01,2.24,Cooks Hill,11.23,Extended (10-20km),6.549,0.187,202512,202412
2304,Mayfield (Newcastle - NSW),2.389,124612.0,8.179,124.44,58.38,2.13,Cooks Hill,12.63,Extended (10-20km),2.422,-0.033,202512,202412
2305,New Lambton,4.203,221838.0,12.639,188.79,98.58,1.92,Cooks Hill,7.41,Secondary (5-10km),4.123,0.08,202512,202412
2306,Windale,0.267,2393.0,1.484,63.54,52.13,1.22,Cooks Hill,3.87,Primary (3-5km),0.28,-0.013,202512,202412
2307,Shortland,0.782,9567.0,3.128,86.46,54.24,1.59,Cooks Hill,11.45,Extended (10-20km),0.984,-0.202,202512,202412
2308,Callaghan,,,,,,,Cooks Hill,10.72,Extended (10-20km),1.504,,202512,202412
2311,Gresford,,,,,,,Cooks Hill,69.79,No Presence (20km+),,,202512,202412
2312,Nabiac,,,,,,,Cooks Hill,116.33,No Presence (20km+),,,202512,202412
2315,Nelson Bay (NSW),0.642,42791.0,2.606,136.67,98.15,1.39,Cooks Hill,54.43,No Presence (20km+),0.632,0.01,202512,202412
2316,Anna Bay,0.383,10777.0,1.833,118.95,61.73,1.93,Cooks Hill,45.7,No Presence (20km+),0.455,-0.072,202512,202412
2317,Salamander Bay,0.887,23875.0,3.341,140.37,92.49,1.52,Cooks Hill,49.25,No Presence (20km+),0.824,0.063,202512,202412
2318,Medowie,0.763,45777.0,3.206,133.01,92.6,1.44,Cooks Hill,31.45,No Presence (20km+),0.608,0.155,202512,202412
2319,Tanilba Bay,0.359,9222.0,1.314,132.44,132.1,1.0,Cooks Hill,43.61,No Presence (20km+),0.432,-0.073,202512,202412
