postcode,total_population,num_sa1s,state,median_age,median_personal_income_weekly,median_hh_income_weekly,median_rent_weekly,median_mortgage_monthly,median_family_income_weekly,avg_household_size,pct_high_income_hh,pct_degree,pct_professional,pct_wfh,labour_force_participation_pct,unemployment_pct,seifa_irsad_score,seifa_irsad_decile,n_degree_total,n_prof_managerial,n_wfh,hh_total
2073,17218,43,NSW,41.67,1187.89,3621.79,868.51,3684.86,3940.37,3.04,58.58,56.54,65.46,55.95,64.86,4.3,1116.41,9.95,7742,5550,4749,5606
2074,23815,57,NSW,45.6,1104.36,3298.24,811.82,3569.0,3637.07,2.87,55.78,51.82,63.28,56.19,60.15,3.95,1113.31,9.92,9985,7062,6177,8134
2075,21664,51,NSW,44.28,1078.56,3198.49,913.44,3713.42,3449.98,2.97,53.68,51.02,61.57,54.32,60.33,4.2,1109.11,9.89,8699,6065,5343,7305
2076,26821,62,NSW,44.51,1022.76,3048.2,734.37,3385.03,3417.24,2.94,52.76,48.84,60.03,52.12,60.03,4.08,1098.38,9.72,10568,7505,6497,8653
2077,43178,117,NSW,39.32,953.55,2209.7,511.52,2453.25,2500.06,2.64,38.22,46.97,50.56,44.29,66.0,4.45,1047.33,8.91,16304,11016,9656,16189
2079,7799,21,NSW,40.68,1018.42,2606.59,589.56,2638.49,2836.29,2.91,48.91,37.71,46.57,40.83,69.85,3.53,1088.16,8.36,2359,1964,1720,2664
2080,2262,9,NSW,40.79,996.53,2609.36,583.31,2710.78,2808.63,3.05,48.15,35.46,49.51,39.21,67.11,2.47,1098.73,8.86,626,568,452,728
2081,5471,15,NSW,41.47,979.42,2708.67,577.42,2644.83,2971.44,3.02,50.93,35.46,48.54,44.49,69.22,3.01,1102.51,8.37,1529,1416,1294,1790
2082,5935,18,NSW,43.14,970.1,2455.79,534.79,2497.99,2754.8,2.9,46.13,32.66,46.59,40.73,66.43,3.03,1103.03,8.23,1533,1406,1227,2005
2083,2262,8,NSW,50.36,858.2,1814.99,388.63,2268.07,2495.23,2.32,35.68,29.92,44.98,39.61,58.64,3.27,1048.51,7.23,586,503,444,909
2084,4538,16,NSW,47.96,1029.55,2885.74,721.16,3703.43,3179.78,2.94,50.01,31.57,47.8,40.67,60.24,2.51,1101.94,8.27,1188,1036,884,1471
2085,12881,32,NSW,46.78,973.55,2986.67,949.85,3357.85,3219.34,3.02,52.77,33.62,51.3,46.13,61.35,3.01,1105.64,8.74,3481,3155,2854,4201
2086,15979,39,NSW,41.7,1018.99,3042.96,839.64,3369.84,3275.64,3.12,55.16,36.45,51.33,45.21,65.44,3.14,1099.96,8.85,4544,4060,3577,5057
2087,13189,41,NSW,43.25,988.27,2913.91,790.98,3362.16,3373.17,3.02,51.48,40.76,55.15,49.43,62.23,3.28,1095.43,9.26,4207,3424,3072,4288
2088,28334,71,NSW,44.79,1507.73,3340.8,870.94,4049.28,4257.21,2.39,53.4,54.83,66.54,58.98,61.91,3.53,1109.54,9.97,12960,9387,8327,11531
2089,11970,27,NSW,39.21,1562.17,2621.52,572.11,2985.36,3706.36,1.99,47.72,56.61,65.5,59.36,71.97,3.85,1091.48,10.0,5912,4722,4286,5656
2090,13715,31,NSW,41.63,1535.29,2881.71,652.23,3210.01,3887.49,2.14,49.96,56.83,67.71,59.22,68.79,3.45,1100.09,10.0,6644,5246,4596,6239
2092,7377,16,NSW,42.29,1278.82,4153.32,1014.74,4521.95,4504.01,3.15,63.51,46.28,64.47,55.03,63.76,3.28,1120.51,9.95,2623,2247,1918,2251
